id,name,description,who,snomed,program_area_id,uuid,created_at,updated_at
156,"{""en"":""Brain and Central Nervous System (CNS) Cancer"",""pt"":null}","{""en"":""Brain and Central Nervous System (CNS) Cancer"",""pt"":null}",,,8,77256965-1d0c-4cc4-8c89-02427debe916,"2023-03-30 19:17:30","2023-03-30 19:17:30"
157,"{""en"":""Fire, heat, and hot substances injuries"",""pt"":null}","{""en"":""Hazards due to Fire, heat, and hot substances"",""pt"":null}",,,11,f89ff3c6-3748-47bb-8e0a-643898206864,"2023-03-31 12:09:49","2023-03-31 12:09:49"
158,"{""en"":""Neonatal Preterm Birth"",""pt"":null}","{""en"":""Neonatal Preterm Birth"",""pt"":null}",,,1,578094a8-2b16-49bc-bf07-7c1675762363,"2023-04-17 16:04:02","2023-04-17 16:04:02"
159,"{""en"":""Neural Tubal Defect"",""pt"":null}","{""en"":""Neural Tubal Defect"",""pt"":null}",,,1,6cec343e-e1f5-4053-b6a8-a417c0c8cdef,"2023-04-19 13:39:32","2023-04-19 13:39:32"
160,"{""en"":""Digestive congenital anomalies (Oesophageal Atresia\/Tracheo-Oesophageal Fistula)"",""pt"":null}","{""en"":""Digestive congenital anomalies (Oesophageal Atresia\/Tracheo-Oesophageal Fistula)"",""pt"":null}",,,1,46e62639-bce3-491f-8569-fca8e8075f4d,"2023-04-19 13:58:30","2023-04-19 13:58:30"
161,"{""en"":""Neonatal Tetenaus"",""pt"":null}","{""en"":""Neonatal Tetenaus"",""pt"":null}",,,1,62617e60-408f-4302-a53f-ea0c1b1a14e1,"2023-04-19 13:59:27","2023-04-19 13:59:27"
162,"{""en"":""Congenital musculoskeletal and limb anomalies"",""pt"":null}","{""en"":""Congenital musculoskeletal and limb anomalies"",""pt"":null}",,,1,e232487a-861b-4091-9423-a118c997bc22,"2023-04-19 14:08:35","2023-04-19 14:08:35"
163,"{""en"":""Congenital urogenital anomalies"",""pt"":null}","{""en"":""Congenital urogenital anomalies"",""pt"":null}",,,1,79cbc37a-360a-45ad-a6b7-6ddc6a809594,"2023-04-19 14:18:08","2023-04-19 14:18:08"
164,"{""en"":""Paralytic ileus and intestinal obstruction"",""pt"":null}","{""en"":""Paralytic ileus and intestinal obstruction"",""pt"":null}",,,1,adb73022-8b31-4b22-87b7-a051795f808c,"2023-04-19 14:18:55","2023-04-19 14:18:55"
165,"{""en"":""Down Syndrome"",""pt"":null}","{""en"":""Down Syndrome"",""pt"":null}",,,1,96e3660a-f8cf-4667-995b-5d18c4d85c51,"2023-04-19 14:19:34","2023-04-19 14:19:34"
166,"{""en"":""Sudden infant death syndrome"",""pt"":null}","{""en"":""Sudden infant death syndrome"",""pt"":null}",,,1,bfddbc1b-1036-4fde-b1c3-6b099ccd5909,"2023-04-19 14:20:27","2023-04-19 14:20:27"
167,"{""en"":""Adverse effects of medical treatment"",""pt"":null}","{""en"":""Adverse effects of medical treatment"",""pt"":null}",,,1,0caf9393-d766-4840-921e-061c81bae1b5,"2023-05-03 15:25:19","2023-05-03 15:25:19"
